SDSS_URL																	  ,	 SDSS_ID				,	pd	, RA, DEC
http://skyserver.sdss.org/dr9/en/tools/explore/obj.asp?id=1237665565001187452 ,	 1237665565001187452  	,	0.99 , 225.55957148 , 18.49132057
http://skyserver.sdss.org/dr9/en/tools/explore/obj.asp?id=1237665226239311902 ,	 1237665226239311902	,	0.80 , 205.29643034 , 30.37815252
http://skyserver.sdss.org/dr9/en/tools/explore/obj.asp?id=1237671262283300978 ,	 1237671262283300978	,	0.78 , 158.36711457 , 16.38085951
http://skyserver.sdss.org/dr9/en/tools/explore/obj.asp?id=1237667734529835345 ,	 1237667734529835345 	,	0.66 , 235.05404251 , 14.27866402
http://skyserver.sdss.org/dr9/en/tools/explore/obj.asp?id=1237655342972534909 ,	 1237655342972534909	,	0.60 , 164.97293001 , 59.95431168
http://skyserver.sdss.org/dr9/en/tools/explore/obj.asp?id=1237654641284087938 ,	 1237654641284087938	,	0.46 , 220.78421319 , 61.32070498
http://skyserver.sdss.org/dr9/en/tools/explore/obj.asp?id=1237665329857953901 ,	 1237665329857953901	,	0.40 , 200.05932632 , 31.35891661
http://skyserver.sdss.org/dr9/en/tools/explore/obj.asp?id=1237655129836552255 ,	 1237655129836552255	,	0.25 , 242.71586779 , 48.91089443
http://skyserver.sdss.org/dr9/en/tools/explore/obj.asp?id=1237654875895758883 ,	 1237654875895758883	,	0.13 , 177.10720771 , 64.5958223
http://skyserver.sdss.org/dr9/en/tools/explore/obj.asp?id=1237648720689954909 ,	 1237648720689954909	,	0.05 , 171.1089389 , -0.42705682
